,ISIN,Code,Name,Country,Exchange,Currency,Type,ExchangeCode,ETF Underlying Index Ticker,Dvd Freq,AssetType
55,IE00B3FH7618,IEGE,iShares EUR Govt Bond 0-1yr UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Bbg Euro Short Treasury 0-1Y,,Fixed Income
56,IE00B3VWN393,CBU7,iShares USD Treas Bond 3-7yr UCITS ETF USD (Acc),France,FP,EUR,ETF,PA,ICE US Treasury 3-7Y Bond,,Fixed Income
57,IE00BZ163L38,VEMT,VANGUARD USD EMERGING MARKETS GOVERNMENT BOND UCITS ETF,France,FP,EUR,ETF,PA,EM USD Sovereign + Quasi-Sov,,Fixed Income
58,IE00B3VTML14,CBE7,iShares EUR Govt Bond 3-7yr UCITS ETF EUR (Acc),France,FP,EUR,ETF,PA,Bbg Euro Gov Bond 3-7Y,,Fixed Income
59,IE00B4WXJH41,IEGZ,iShares EUR Govt Bond 10-15yr UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays Euro Gov Bond 10-15Y,,Fixed Income
60,IE00BZ163K21,VUCP,VANGUARD USD CORPORATE BOND UCITS ETF,France,FP,EUR,ETF,PA,Global Aggregate Corporate-USD,,Fixed Income
61,IE00B1FZS681,IBGX,iShares EUR Govt Bond 3-5yr UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays Euro Gov Bond 5Y,,Fixed Income
62,IE00BCLWRB83,LQDH,iShares $ Corporate Bond Interest Rate Hedged UCITS ETF,France,FP,EUR,ETF,PA,iBoxx USD Liquid IG IR Hedged,,Fixed Income
63,IE00BMVB5P51,V60A,Vanguard LifeStrategy 60% Equity UCITS ETF,France,FP,EUR,ETF,PA,,Capitalisation,Fixed Income
64,DE000A3GSUC5,VDOT,VanEck Vectors Polkadot ETN,France,FP,EUR,ETN,PA,MVIS CryptoCompare Polkadot,,Fixed Income
65,NL0009272764,DTM,VanEck Vectors Multi-Asset Conservative Allocation UCITS ETF,France,FP,EUR,ETF,PA,Multi-Asset Conservative Alloc,,Fixed Income
66,IE00B1FZS798,BTMA,iShares USD Treasury Bond 7-10yr UCITS ETF USD (Dist),France,FP,EUR,ETF,PA,ICE US Treasury 7-10Y Bond,,Fixed Income
67,IE00BCRY6227,ERND,iShares $ Ultrashort Bond UCITS ETF,France,FP,EUR,ETF,PA,iBoxx USD Liquid IG Ultrashort,,Fixed Income
68,IE00BMVB5R75,V80A,Vanguard LifeStrategy 80% Equity UCITS ETF,France,FP,EUR,ETF,PA,,Capitalisation,Fixed Income
69,LU2037750168,BINFU,AMUNDI INDEX BREAKEVEN INFLATION USD 10Y UCITS ETF DR,France,FP,USD,ETF,PA,iBoxx USD10Y Breakeven Infla,Capitalisation,Fixed Income
70,IE00BMVB5K07,V20A,Vanguard LifeStrategy 20% Equity UCITS ETF,France,FP,EUR,ETF,PA,,Capitalisation,Fixed Income
71,CH1114873776,ASOL,21Shares Solana ETP,France,FP,EUR,ETN,PA,Solana,Capitalisation,Crypto
72,XS2193972671,3STS,GraniteShares 3x Short Tesla Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x TSLA,Capitalisation,Equity
73,XS2193972168,3SNV,GraniteShares 3x Short NVIDIA Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x NVDIA,Capitalisation,Equity
74,DE000A27Z304,BTCE,BTCetc - ETC Group Physical Bitcoin EUR,France,FP,EUR,ETN,PA,XBT CFIX Curncy,Capitalisation,Crypto
75,XS2193971350,3LFB,GraniteShares 3x Long Facebook Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x FB,Capitalisation,Equity
76,CH0593331561,ADOT,21Shares Polkadot ETP,France,FP,EUR,ETN,PA,Polkadot DOT,Capitalisation,Crypto
77,XS2377112110,3LAM,GraniteShares 3x Long AMD Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x AMD,Capitalisation,Equity
78,XS2193973216,3SNI,GraniteShares 3x Short NIO Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x NIO,Capitalisation,Equity
79,DE000A3GMKD7,ZETH,ETHetc - ETC Group Physical Ethereum EUR,France,FP,EUR,ETN,PA,XET CFIX Curncy,Capitalisation,Crypto
80,CH0514065058,SBTC,21Shares Short Bitcoin ETP - SBTC,France,FP,EUR,ETN,PA,21Shares CC Short Bitcoin,Capitalisation,Crypto
81,XS2376975020,3LLV,GraniteShares 3x Long LVMH Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x LVMH,Capitalisation,Equity
82,XS2193973133,3LNI,GraniteShares 3x Long NIO Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x NIO,Capitalisation,Equity
83,XS2377111906,3LPA,GraniteShares 3x Long Palantir Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Palantir,Capitalisation,Equity
84,XS2376974304,3LDA,GraniteShares 3x Long Danone Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Danone,Capitalisation,Equity
85,XS2377112201,3SAM,GraniteShares 3x Short AMD Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x AMD,Capitalisation,Equity
86,XS2377112540,3SMO,GraniteShares 3x Short Moderna Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Moderna,Capitalisation,Equity
87,XS2376933375,3LAR,GraniteShares 3x Long Airbus Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Airbus,Capitalisation,Equity
88,XS2376976770,3LSE,GraniteShares 3x Long Schneider Electric Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Schneider,Capitalisation,Equity
89,XS2376975533,3LSA,GraniteShares 3x Long Safran Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Safran,Capitalisation,Equity
90,XS2376979790,3LTO,GraniteShares 3x Long TotalEnergies Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Total,Capitalisation,Equity
91,CH0496454155,BNBA,21Shares Binance Coin ETP,France,FP,EUR,ETN,PA,Binance Coin (BNB),Capitalisation,Crypto
92,XS2305050713,FTNG,GraniteShares FATANG ETP,France,FP,EUR,ETF,PA,Solactive FATANG Equal Weight,Capitalisation,Equity
93,CH1109575535,AXLM,21Shares Stellar ETP,France,FP,EUR,ETN,PA,Stellar,Capitalisation,Crypto
94,CH0454664043,AXRP,21Shares Ripple XRP,France,FP,EUR,ETN,PA,XRP,Capitalisation,Crypto
95,XS2376978982,3LST,GraniteShares 3x Long STMicroelectronics Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x ST Micro,Capitalisation,Equity
96,XS2376991142,3SVW,GraniteShares 3x Short Volkswagen Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x VW,Capitalisation,Equity
97,XS2377112466,3LMO,GraniteShares 3x Long Moderna Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Moderna,Capitalisation,Equity
98,XS2193970030,3SAP,GraniteShares 3x Short Apple Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x AAPL,Capitalisation,Equity
99,GB00BLD4ZL17,BITC,CoinShares Physical Bitcoin,France,FP,EUR,ETN,PA,Bitcoin,Capitalisation,Crypto
100,GB00BLD4ZM24,CETH,CoinShares Physical Ethereum,France,FP,EUR,ETN,PA,Ethereum,Capitalisation,Crypto
101,XS2193971517,3SFB,GraniteShares 3x Short Facebook Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x FB,Capitalisation,Equity
102,XS2376990417,3LVW,GraniteShares 3x Long Volkswagen Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x VW,Capitalisation,Equity
103,XS2193970386,3SMS,GraniteShares 3x Short Microsoft Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x MSFT,Capitalisation,Equity
104,XS2305051877,3FTG,GraniteShares 3x Long FATANG Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily +3x FATANG,Capitalisation,Equity
105,XS2193969883,3LAP,GraniteShares 3x Long Apple Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x AAPL,Capitalisation,Equity
106,CH0491507486,AXTZ,21Shares Tezos ETP,France,FP,EUR,ETN,PA,Tezos (XTZ),Capitalisation,Crypto
107,XS2377112037,3SPA,GraniteShares 3x Short Palantir Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Palantir,Capitalisation,Equity
108,XS2193969537,3LZN,GraniteShares 3x Long Amazon Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x AMZN,Capitalisation,Equity
109,XS2193968307,3LAL,GraniteShares 3x Long Alphabet Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x GOOGL,Capitalisation,Equity
110,XS2193971947,3LNV,GraniteShares 3x Long NVIDIA Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x NVDIA,Capitalisation,Equity
111,XS2193970204,3LMS,GraniteShares 3x Long Microsoft Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x MSFT,Capitalisation,Equity
112,XS2305051281,3GFM,GraniteShares 3x Long GAFAM Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily +3x GAFAM,Capitalisation,Equity
113,XS2376974726,3LOR,GraniteShares 3x Long L'Oreal Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x L'Oreal,Capitalisation,Equity
114,XS2376944224,3LAX,GraniteShares 3x Long AXA Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x AXA,Capitalisation,Equity
115,XS2376979873,3STO,GraniteShares 3x Short TotalEnergies Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Total,Capitalisation,Equity
116,CH0475552201,ABCH,21Shares Bitcoin Cash ETP,France,FP,EUR,ETN,PA,Bitcoin Cash,Capitalisation,Crypto
117,XS2376979287,3SST,GraniteShares 3x Short STMicroelectronics Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x ST Micro,Capitalisation,Equity
118,XS2376975616,3SSA,GraniteShares 3x Short Safran Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Safran,Capitalisation,Equity
119,XS2376975962,3LSN,GraniteShares 3x Long Sanofi Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x Sanofi,Capitalisation,Equity
120,XS2305050556,FANG,GraniteShares FAANG ETP,France,FP,EUR,ETN,PA,Solactive FAANG Equal Weight,Capitalisation,Equity
121,XS2376952243,3SBN,GraniteShares 3x Short BNP Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x BNP-P,Capitalisation,Equity
122,XS2376951948,3LBN,GraniteShares 3x Long BNP Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x BNP-P,Capitalisation,Equity
123,XS2376975376,3SLV,GraniteShares 3x Short LVMH Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x LVMH,Capitalisation,Equity
124,XS2376974999,3SOR,GraniteShares 3x Short L'Oreal Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x L'Oreal,Capitalisation,Equity
125,XS2376937442,3SAR,GraniteShares 3x Short Airbus Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Airbus,Capitalisation,Equity
126,XS2376951781,3SAX,GraniteShares 3x Short AXA Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x AXA,Capitalisation,Equity
127,XS2376976853,3SSE,GraniteShares 3x Short Schneider Electric Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Schneider,Capitalisation,Equity
128,XS2376974486,3SDA,GraniteShares 3x Short Danone Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Danone,Capitalisation,Equity
129,XS2305051109,SFNG,GraniteShares 1x Short FAANG Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -1x FAANG,Capitalisation,Equity
130,XS2305052172,SFTG,GraniteShares 1x Short FATANG Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily -1x FATANG,Capitalisation,Equity
131,XS2305051950,3SFT,GraniteShares 3x Short FATANG Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily -3x FATANG,Capitalisation,Equity
132,XS2305051521,SGFM,GraniteShares 1x Short GAFAM Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily -1x GAFAM,Capitalisation,Equity
133,XS2305051448,3SGF,GraniteShares 3x Short GAFAM Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily -3x GAFAM,Capitalisation,Equity
134,XS2305051018,3SFG,GraniteShares 3x Short FAANG Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily -3x FAANG,Capitalisation,Equity
135,XS2305050804,3FNG,GraniteShares 3x Long FAANG Daily ETP,France,FP,EUR,ETF,PA,Solactive Daily +3x FAANG,Capitalisation,Equity
136,XS2305050630,GFAM,GraniteShares GAFAM ETP,France,FP,EUR,ETF,PA,Solactive GAFAM Equal Weight,Capitalisation,Equity
137,XS2193973059,3SUB,GraniteShares 3x Short UBER Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x UBER,Capitalisation,Equity
138,XS2193972838,3LUB,GraniteShares 3x Long UBER Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x UBER,Capitalisation,Equity
139,XS2193972598,3LTS,GraniteShares 3x Long Tesla Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x TSLA,Capitalisation,Equity
140,XS2193970899,3SNF,GraniteShares 3x Short Netflix Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x NFLX,Capitalisation,Equity
141,XS2193970543,3LNF,GraniteShares 3x Long Netflix Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily +3x NFLX,Capitalisation,Equity
142,XS2193969701,3SZN,GraniteShares 3x Short Amazon Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x AMZN,Capitalisation,Equity
143,XS2193968729,3SAL,GraniteShares 3x Short Alphabet Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x GOOGL,Capitalisation,Equity
144,DE000A3GTBU5,BTCH,BCHetc - ETC Group Physical Bitcoin Cash EUR,France,FP,EUR,ETN,PA,XBN CFIX Curncy,Capitalisation,Crypto
145,DE000A3GN5J9,ELTC,LTCetc - ETC Group Physical Litecoin EUR,France,FP,EUR,ETN,PA,XLC CFIX Curncy,Capitalisation,Crypto
146,XS2376976341,3SSN,GraniteShares 3x Short Sanofi Daily ETP,France,FP,EUR,ETN,PA,Solactive Daily -3x Sanofi,Capitalisation,Equity
147,IE00B3XXRP09,VUSA,Vanguard S&P 500 UCITS ETF,France,FP,EUR,ETF,PA,S&P 500 Index,,Equity
148,IE00B3RBWM25,VWRL,Vanguard FTSE All-World UCITS ETF,France,FP,EUR,ETF,PA,FTSE All-World Index,,Equity
149,IE00B4L5Y983,IWDA,iShares Core MSCI World UCITS ETF USD (Acc),France,FP,EUR,ETF,PA,MSCI World,,Equity
