,ISIN,Code,Name,Country,Exchange,Currency,Type,ExchangeCode,ETF Underlying Index Ticker,Dvd Freq,AssetType
191,LU0629460675,UIMR,UBS (Lux) Fund Solutions - MSCI EMU Socially Respo,France,FP,EUR,ETF,PA,MSCI EMU SRI Low Carbon 5% IC,,Equity
192,IE00B3ZW0K18,IUES,iShares S&P 500 EUR Hedged UCITS ETF (Acc),France,FP,EUR,ETF,PA,S&P 500,,Equity
193,LU0629459743,UIMM,UBS (Lux) Fund Solutions - MSCI World Socially Res,France,FP,EUR,ETF,PA,MSCI World Low Carbon 5% IC,,Equity
194,GB00B15KY765,WEATP,WT Wheat,France,FP,EUR,ETC,PA,Bloomberg Wheat Subindex TR,,Equity
195,NL0009690239,TRET,VanEck Vectors Global Real Estate UCITS ETF,France,FP,EUR,ETF,PA,VanEck Global Real Estate,,Equity
196,IE00BKTLJB70,CT2B,iShares Smart City Infra UCITS ETF USD (Dist),France,FP,USD,ETF,PA,STOXX Glob Smrt Cty Infr Index,Bi-Annually,Equity
197,IE00B95PGT31,VJPN,VANGUARD FTSE Japan UCITS ETF,France,FP,EUR,ETF,PA,FTSE Japan Index,,Equity
198,IE00BYTRRB94,WHEA,SPDR MSCI WORLD HEALTH CARE UCITS ETF,France,FP,EUR,ETF,PA,MSCI World Health Care 35/20,,Equity
199,IE00BYTRR970,WFIN,SPDR MSCI WORLD FINANCIALS UCITS ETF,France,FP,EUR,ETF,PA,MSCI World Financials 35/20,,Equity
200,SE0009723034,OBXXU,XACT OBX Bull (UCITS ETF),France,FP,NOK,ETF,PA,OBX Index,,Equity
201,IE00BFXR7892,KWEB,KraneShares CSI China Internet UCITS ETF USD,France,FP,USD,ETF,PA,CSI Overseas China Internet,,Equity
202,LU1437018838,EPRU,AMUNDI INDEX FTSE EPRA NAREIT GLOBAL UCITS ETF DR,France,FP,USD,ETF,PA,FTSE EPRA/NAREIT Developed,,Equity
203,IE00BKBF6616,CEUU,iShares Core MSCI EMU UCITS ETF USD Hedged (Acc),France,FP,USD,ETF,PA,MSCI EMU NTR Local Index,Capitalisation,Equity
204,LU2109787395,SADU,AMUNDI MSCI USA ESG LEADERS SELECT UCITS ETF DR (C),France,FP,USD,ETF,PA,MSCI USA ESG LEADERS SELECT 5%,Capitalisation,Equity
205,FR0014002IH8,BTC,MELANION BTC EQUITIES UNIVERSE UCITS ETF,France,FP,EUR,ETF,PA,MELANION BITCOIN EXPOSURE IDX,Capitalisation,Equity
206,IE00BJXRT813,WVAL,SPDR MSCI World Value UCITS ETF (Acc),France,FP,EUR,ETF,PA,NU720342,Capitalisation,Equity
207,IE00BKT6FV49,SJPE,iShares Core MSCI Japan IMI UCITS ETF EUR Hedged (,France,FP,EUR,ETF,PA,MSCI Japan IMI USD Net,Bi-Annually,Equity
208,LU1646359452,JPXY,Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF,France,FP,JPY,ETF,PA,MSCI Jap ESG Rating Trend Lead,,Equity
209,LU1048313891,UEF5,UBS (Lux) Fund Solutions - MSCI Emerging Markets S,France,FP,EUR,ETF,PA,MSCI EM SRI Low Carbon 5% IC,,Equity
210,IE00BJ5JPG56,ICHN,iShares MSCI China UCITS ETF - USD (Acc),France,FP,USD,ETF,PA,MSCI China Index,Capitalisation,Equity
211,IE00BYPLS672,ISPY,L&G Cyber Security UCITS ETF,France,FP,EUR,ETF,PA,ISE Cyber Sec UCITS Ind NTR,,Equity
212,IE00B02KXH56,IJPN,iShares MSCI Japan UCITS ETF (Dist),France,FP,EUR,ETF,PA,MSCI Japan,,Equity
213,SE0009723026,OBXX,XACT OBX (UCITS ETF),France,FP,NOK,ETF,PA,OBX Index,,Equity
214,IE00B4L5YC18,IEMA,iShares MSCI EM UCITS ETF USD (Acc),France,FP,EUR,ETF,PA,MSCI Emerging Markets,Capitalisation,Equity
215,IE00B5V87390,CSRU,iShares MSCI Russia ADR/GDR UCITS ETF USD (Acc),France,FP,EUR,ETF,PA,MSCI Russia ADR/GDR 20/35,,Equity
216,GB00B15KXV33,CRUDP,WT WTI Crude Oil,France,FP,EUR,ETC,PA,Bloomberg WTI Crude Oil Sub TR,,Equity
217,IE00B42Z5J44,IJPE,iShares MSCI Japan EUR Hedged UCITS ETF (Acc),France,FP,EUR,ETF,PA,MSCI Japan Hedged EUR,,Equity
218,IE00B1FZS350,IWDP,iShares Developed Markets Property Yield UCITS ETF USD (Dist),France,FP,EUR,ETF,PA,FTSE EPRA/NAREIT Global Div+,,Equity
219,XS2297549128,3TSL,Leverage Shares 3x Tesla ETP Securities,France,FP,EUR,ETF,PA,iSTOXX Leveraged 3x TSLA Index,Capitalisation,Equity
220,IE00BGDQ0T50,SEMD,iShares MSCI EM SRI UCITS ETF USD (Dist),France,FP,USD,ETF,PA,M1EMS Index,Bi-Annually,Equity
221,IE00B52MJY50,CPXJ,iShares Core MSCI Pcfic ex-Jpn UCITS ETF USD (Acc),France,FP,EUR,ETF,PA,MSCI Pacific Ex Japan,,Equity
222,LU1291109616,GSCE,BNP Paribas Easy S&P GSCI Energy&Metals Capped Component 35/20 UCITS ETF EUR Capitalisation,France,FP,EUR,ETF,PA,BNP Paribas Energy & Metals En,,Equity
223,IE00B3CNHG25,AUCO,L&G Gold Mining UCITS ETF,France,FP,EUR,ETF,PA,DAXglobal Gold Miners,,Equity
224,JE00B2NFTL95,LBUL,WT 2x Daily Long Gold,France,FP,EUR,ETC,PA,,,Equity
225,GB00B15KXQ89,COPAP,WT Copper,France,FP,EUR,ETC,PA,Bloomberg Copper Subindex TR,,Equity
226,IE00BMX0DF60,UMDV,iShares US Medical Devices UCITS ETF USD (Acc),France,FP,USD,ETF,PA,DJ US Slct Med Eqpmt Cpd 3520,Capitalisation,Equity
227,IE00BKVL7778,MVEW,iShares Edge MSCI World Minimum Volatility ESG UCITS ETF USD (Acc),France,FP,USD,ETF,PA,MSCI W MV ESG RdCrbnTrgt Indx,Capitalisation,Equity
228,LU1753045332,SRIEC,BNP Paribas Easy MSCI Europe SRI S-Series 5% Capped,France,FP,EUR,ETF,PA,MSCI Europe SRI S-Series 5%Cap,Capitalisation,Equity
229,IE00BYTRR863,WNRG,SPDR MSCI WORLD ENERGY UCITS ETF,France,FP,EUR,ETF,PA,MSCI World Energy 35/20,,Equity
230,IE00B53QG562,CEMU,iShares Core MSCI EMU UCITS ETF,France,FP,EUR,ETF,PA,MSCI EMU,,Equity
231,IE00BWBXM500,SXLF,SPDR S&P U.S. FINANCIALS SELECT SECTOR UCITS ETF,France,FP,EUR,ETF,PA,IXMNTR,,Equity
232,IE00B14X4M10,INAA,iShares MSCI North America UCITS ETF,France,FP,EUR,ETF,PA,MSCI North America,Quarterly,Equity
233,FR0000021842,BEL,LYXOR UCITS ETF BEL 20 TR,France,FP,EUR,ETF,PA,BEL 20,,Equity
234,IE00B0M63391,IKRA,iShares MSCI Korea UCITS ETF (Dist),France,FP,EUR,ETF,PA,MSCI Korea,Bi-Annually,Equity
235,NL0011683594,TDIV,VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,France,FP,EUR,ETF,PA,Morningstar Div Leaders Index,,Equity
236,LU1659681586,EKLDC,BNP Paribas Easy MSCI USA SRI S-Series 5% Capped,France,FP,EUR,ETF,PA,MSCI USA SRI S-Series 5%Cap,Capitalisation,Equity
237,IE00BWBXM948,SXLK,SPDR S&P U.S. TECHNOLOGY SELECT SECTOR UCITS ETF,France,FP,EUR,ETF,PA,IXTNTR,,Equity
238,IE00BJXRZJ40,CYBR,Rize Cybersecurity and Data Privacy UCITS ETF,France,FP,EUR,ETF,PA,Fox. Cybersecurity,Capitalisation,Equity
239,LU2090063673,LJPN,Lyxor Core MSCI Japan (DR) UCITS ETF - Dist,France,FP,JPY,ETF,PA,MSCI Japan NTR Index,Bi-Annually,Equity
240,IE00BMDBMG37,IDSE,iShares MSCI Europe SRI UCITS ETF USD (Acc),France,FP,USD,ETF,PA,MSCI EurSRI Sel Rd Fossil Fuel,Quarterly,Equity
241,IE00BYTRRG40,WTEL,SPDR MSCI World Communication Services UCITS ETF,France,FP,EUR,ETF,PA,MSCI World Com Services 35/20,,Equity
242,NL0009272780,TOF,VanEck Vectors Multi-Asset Growth Allocation UCITS ETF,France,FP,EUR,ETF,PA,Multi-Asset Growth Allocation,,Equity
243,LU2023679090,ELCR,Lyxor MSCI Future Mobility ESG Filtered (DR) UCITS ETF- Acc,France,FP,EUR,ETF,PA,MSCI Future Mobility NTR,,Equity
244,LU1437017863,U500,AMUNDI S&P 500 ESG UCITS ETF DR - EUR (C),France,FP,USD,ETF,PA,S&P 500 ESG,,Equity
245,IE00B1FZS574,ITKY,iShares MSCI Turkey UCITS ETF USD (Dist),France,FP,EUR,ETF,PA,MSCI Turkey,,Equity
