,ISIN,Code,Name,Country,Exchange,Currency,Type,ISIN.1,ExchangeCode,logo
123,US21833P1030,CRBP,"Corbus Pharmaceuticals Holdings, Inc",USA,NASDAQ,USD,Common Stock,US21833P1030,US,/img/logos/US/CRBP.png
124,US79466L3024,CRM,"salesforce.com, inc",USA,NYSE,USD,Common Stock,US79466L3024,US,/img/logos/US/CRM.png
125,CA22717L1013,CRON,Cronos Group Inc,USA,NASDAQ,USD,Common Stock,CA22717L1013,US,/img/logos/US/CRON.png
126,US17275R1023,CSCO,"Cisco Systems, Inc",USA,NASDAQ,USD,Common Stock,US17275R1023,US,/img/logos/US/CSCO.png
127,CH0012138530,CSGKF,Credit Suisse Group AG,USA,PINK,USD,Common Stock,CH0012138530,US,/img/logos/US/CSGKF.png
128,US1264081035,CSX,CSX Corporation,USA,NASDAQ,USD,Common Stock,US1264081035,US,/img/logos/US/CSX.png
129,US1729081059,CTAS,Cintas Corporation,USA,NASDAQ,USD,Common Stock,US1729081059,US,/img/logos/US/CTAS.png
130,US1924461023,CTSH,Cognizant Technology Solutions Corporation,USA,NASDAQ,USD,Common Stock,US1924461023,US,/img/logos/US/CTSH.png
131,US1773761002,CTXS,"Citrix Systems, Inc",USA,NASDAQ,USD,Common Stock,US1773761002,US,/img/logos/US/CTXS.png
132,CA15135U1093,CVE,Cenovus Energy Inc,USA,NYSE,USD,Common Stock,CA15135U1093,US,/img/logos/US/cve.png
133,US1266501006,CVS,CVS Health Corporation,USA,NYSE,USD,Common Stock,US1266501006,US,/img/logos/US/cvs.png
134,US1667641005,CVX,Chevron Corporation,USA,NYSE,USD,Common Stock,US1667641005,US,/img/logos/US/cvx.png
135,US25746U1097,D,"Dominion Energy, Inc",USA,NYSE,USD,Common Stock,US25746U1097,US,/img/logos/US/d.png
136,US2473617023,DAL,"Delta Air Lines, Inc",USA,NYSE,USD,Common Stock,US2473617023,US,/img/logos/US/dal.png
137,FR0000130650,DASTF,Dassault Systèmes SE,USA,PINK,USD,Common Stock,FR0000130650,US,/img/logos/US/DASTF.png
138,DE0005140008,DB,Deutsche Bank Aktiengesellschaft,USA,NYSE,USD,Common Stock,DE0005140008,US,/img/logos/US/db.png
139,US26210C1045,DBX,"Dropbox, Inc",USA,NASDAQ,USD,Common Stock,US26210C1045,US,/img/logos/US/DBX.png
140,US26614N1028,DD,"DuPont de Nemours, Inc",USA,NYSE,USD,Common Stock,US26614N1028,US,/img/logos/US/dd.png
141,DE0007100000,DDAIF,Daimler AG,USA,PINK,USD,Common Stock,DE0007100000,US,/img/logos/US/DDAIF.png
142,US2441991054,DE,Deere & Company,USA,NYSE,USD,Common Stock,US2441991054,US,/img/logos/US/DE.png
143,US2547091080,DFS,Discover Financial Services,USA,NYSE,USD,Common Stock,US2547091080,US,/img/logos/US/dfs.png
144,US2566771059,DG,Dollar General Corporation,USA,NYSE,USD,Common Stock,US2566771059,US,/img/logos/US/DG.png
145,US74834L1008,DGX,Quest Diagnostics Incorporated,USA,NYSE,USD,Common Stock,US74834L1008,US,/img/logos/US/DGX.png
146,US23331A1097,DHI,"D.R. Horton, Inc",USA,NYSE,USD,Common Stock,US23331A1097,US,/img/logos/US/DHI.png
147,US2358511028,DHR,Danaher Corporation,USA,NYSE,USD,Common Stock,US2358511028,US,/img/logos/US/dhr.png
148,US2546871060,DIS,The Walt Disney Company,USA,NYSE,USD,Common Stock,US2546871060,US,/img/logos/US/dis.png
149,US25470F3029,DISCK,"Discovery, Inc",USA,NASDAQ,USD,Common Stock,US25470F3029,US,/img/logos/US/DISCK.png
150,US26142R1041,DKNG,DraftKings Inc,USA,NASDAQ,USD,Common Stock,US26142R1041,US,/img/logos/US/DKNG.png
151,US2567461080,DLTR,"Dollar Tree, Inc",USA,NASDAQ,USD,Common Stock,US2567461080,US,/img/logos/US/DLTR.png
152,US2600031080,DOV,Dover Corporation,USA,NYSE,USD,Common Stock,US2600031080,US,/img/logos/US/Dov.png
153,US2605571031,DOW,Dow Inc,USA,NYSE,USD,Common Stock,US2605571031,US,/img/logos/US/dow.png
154,US2371941053,DRI,"Darden Restaurants, Inc",USA,NYSE,USD,Common Stock,US2371941053,US,/img/logos/US/DRI.png
155,US2333311072,DTE,DTE Energy Company,USA,NYSE,USD,Common Stock,US2333311072,US,/img/logos/US/dte.png
156,DE0005557508,DTEGF,Deutsche Telekom AG,USA,OTCQX,USD,Common Stock,DE0005557508,US,/img/logos/US/dtegf.png
157,US26441C2044,DUK,Duke Energy Corporation,USA,NYSE,USD,Common Stock,US26441C2044,US,/img/logos/US/DUK.png
158,US25179M1036,DVN,Devon Energy Corporation,USA,NYSE,USD,Common Stock,US25179M1036,US,/img/logos/US/dvn.png
159,US2855121099,EA,Electronic Arts Inc,USA,NASDAQ,USD,Common Stock,US2855121099,US,/img/logos/US/ea.png
160,NL0000235190,EADSF,Airbus SE,USA,PINK,USD,Common Stock,NL0000235190,US,/img/logos/US/EADSF.png
161,US2786421030,EBAY,eBay Inc,USA,NASDAQ,USD,Common Stock,US2786421030,US,/img/logos/US/ebay.png
162,US2091151041,ED,"Consolidated Edison, Inc",USA,NYSE,USD,Common Stock,US2091151041,US,/img/logos/US/ed.png
163,ES0127797019,EDRVF,"EDP Renováveis, S.A",USA,PINK,USD,Common Stock,ES0127797019,US,
164,US2944291051,EFX,Equifax Inc,USA,NYSE,USD,Common Stock,US2944291051,US,/img/logos/US/efx.png
165,IT0003132476,EIPAF,Eni S.p.A,USA,PINK,USD,Common Stock,IT0003132476,US,/img/logos/US/EIPAF.png
166,US2810201077,EIX,Edison International,USA,NYSE,USD,Common Stock,US2810201077,US,/img/logos/US/eix.png
167,US5184391044,EL,The Estée Lauder Companies Inc,USA,NYSE,USD,Common Stock,US5184391044,US,/img/logos/US/EL.png
168,US2774321002,EMN,Eastman Chemical Company,USA,NYSE,USD,Common Stock,US2774321002,US,/img/logos/US/emn.png
169,US2910111044,EMR,Emerson Electric Co,USA,NYSE,USD,Common Stock,US2910111044,US,/img/logos/US/EMR.png
170,CA29250N1050,ENB,Enbridge Inc,USA,NYSE,USD,Common Stock,CA29250N1050,US,/img/logos/US/ENB.png
171,US26875P1012,EOG,"EOG Resources, Inc",USA,NYSE,USD,Common Stock,US26875P1012,US,/img/logos/US/eog.png
172,US29444U7000,EQIX,"Equinix, Inc. (REIT)",USA,NASDAQ,USD,Common Stock,US29444U7000,US,/img/logos/US/eqix.png
173,US29476L1070,EQR,Equity Residential,USA,NYSE,USD,Common Stock,US29476L1070,US,/img/logos/US/eqr.png
174,US26884L1098,EQT,EQT Corporation,USA,NYSE,USD,Common Stock,US26884L1098,US,/img/logos/US/EQT.png
175,SE0000108656,ERIXF,Telefonaktiebolaget LM Ericsson (publ),USA,PINK,USD,Common Stock,SE0000108656,US,/img/logos/US/ERIXF.png
176,US2971781057,ESS,"Essex Property Trust, Inc",USA,NYSE,USD,Common Stock,US2971781057,US,/img/logos/US/ess.png
177,US29273V1008,ET,Energy Transfer LP,USA,NYSE,USD,Common Stock,US29273V1008,US,/img/logos/US/ET.png
178,US29364G1031,ETR,Entergy Corporation,USA,NYSE,USD,Common Stock,US29364G1031,US,/img/logos/US/ETR.png
179,FR0010221234,EUTLF,Eutelsat Communications S.A,USA,PINK,USD,Common Stock,FR0010221234,US,/img/logos/US/EUTLF.png
180,US28176E1082,EW,Edwards Lifesciences Corporation,USA,NYSE,USD,Common Stock,US28176E1082,US,/img/logos/US/EW.png
181,US30161N1019,EXC,Exelon Corporation,USA,NASDAQ,USD,Common Stock,US30161N1019,US,/img/logos/US/exc.png
182,US3021301094,EXPD,"Expeditors International of Washington, Inc",USA,NASDAQ,USD,Common Stock,US3021301094,US,/img/logos/US/EXPD.png
183,US30212P3038,EXPE,"Expedia Group, Inc",USA,NASDAQ,USD,Common Stock,US30212P3038,US,/img/logos/US/EXPE.png
184,GB00B19NLV48,EXPGF,Experian plc,USA,OTCQX,USD,Common Stock,GB00B19NLV48,US,/img/logos/US/EXPGf.png
185,US3453708600,F,Ford Motor Company,USA,NYSE,USD,Common Stock,US3453708600,US,/img/logos/US/f.png
186,US3119001044,FAST,Fastenal Company,USA,NASDAQ,USD,Common Stock,US3119001044,US,/img/logos/US/FAST.png
187,US30303M1027,FB,"Facebook, Inc",USA,NASDAQ,USD,Common Stock,US30303M1027,US,/img/logos/US/fb.png
188,US35952H6018,FCEL,"FuelCell Energy, Inc",USA,NASDAQ,USD,Common Stock,US35952H6018,US,/img/logos/US/FCEL.png
189,US35671D8570,FCX,Freeport-McMoRan Inc,USA,NYSE,USD,Common Stock,US35671D8570,US,/img/logos/US/fcx.png
190,US3379321074,FE,FirstEnergy Corp,USA,NYSE,USD,Common Stock,US3379321074,US,/img/logos/US/fe.png
191,US3156161024,FFIV,"F5 Networks, Inc",USA,NASDAQ,USD,Common Stock,US3156161024,US,/img/logos/US/FFIV.png
192,US3377381088,FISV,"Fiserv, Inc",USA,NASDAQ,USD,Common Stock,US3377381088,US,/img/logos/US/FISV.png
193,US3167731005,FITB,Fifth Third Bancorp,USA,NASDAQ,USD,Common Stock,US3167731005,US,/img/logos/US/fitb.png
194,US3448491049,FL,"Foot Locker, Inc",USA,NYSE,USD,Common Stock,US3448491049,US,/img/logos/US/fl.png
195,US3024451011,FLIR,"Teledyne FLIR, LLC",USA,NASDAQ,USD,Common Stock,US3024451011,US,/img/logos/US/flir.png
196,US3434121022,FLR,Fluor Corporation,USA,NYSE,USD,Common Stock,US3434121022,US,/img/logos/US/FLR.png
197,US34354P1057,FLS,Flowserve Corporation,USA,NYSE,USD,Common Stock,US34354P1057,US,/img/logos/US/FLS.png
198,US3024913036,FMC,FMC Corporation,USA,NYSE,USD,Common Stock,US3024913036,US,/img/logos/US/fmc.png
199,CA3518581051,FNV,Franco-Nevada Corporation,USA,NYSE,USD,Common Stock,CA3518581051,US,/img/logos/US/fnv.png
200,US35137L2043,FOX,Fox Corporation,USA,NASDAQ,USD,Common Stock,US35137L2043,US,/img/logos/US/fox.png
201,US35137L1052,FOXA,Fox Corporation,USA,NASDAQ,USD,Common Stock,US35137L1052,US,/img/logos/US/foxa.png
202,CA3359341052,FQVLF,First Quantum Minerals Ltd,USA,PINK,USD,Common Stock,CA3359341052,US,/img/logos/US/FQVLF.png
203,US33616C1009,FRC,First Republic Bank,USA,NYSE,USD,Common Stock,US33616C1009,US,/img/logos/US/frc.png
204,ES0118900010,FRRVF,"Ferrovial, S.A",USA,PINK,USD,Common Stock,ES0118900010,US,/img/logos/US/FRRVF.png
205,US3137472060,FRT,Federal Realty Investment Trust,USA,NYSE,USD,Common Stock,US3137472060,US,/img/logos/US/frt.png
206,GB00BDSFG982,FTI,TechnipFMC plc,USA,NYSE,USD,Common Stock,GB00BDSFG982,US,/img/logos/US/fti.png
207,CA3495531079,FTS,Fortis Inc,USA,NYSE,USD,Common Stock,CA3495531079,US,/img/logos/US/FTS.png
208,US3695501086,GD,General Dynamics Corporation,USA,NYSE,USD,Common Stock,US3695501086,US,/img/logos/US/gd.png
209,US3696041033,GE,General Electric Company,USA,NYSE,USD,Common Stock,US3696041033,US,/img/logos/US/ge.png
210,CA12532H1047,GIB,CGI Inc,USA,NYSE,USD,Common Stock,CA12532H1047,US,/img/logos/US/gib.png
211,CA3759161035,GIL,Gildan Activewear Inc,USA,NYSE,USD,Common Stock,CA3759161035,US,/img/logos/US/gil.png
212,US3755581036,GILD,"Gilead Sciences, Inc",USA,NASDAQ,USD,Common Stock,US3755581036,US,/img/logos/US/GILD.png
213,US3703341046,GIS,"General Mills, Inc",USA,NYSE,USD,Common Stock,US3703341046,US,/img/logos/US/GIS.png
214,GB0009252882,GLAXF,GlaxoSmithKline plc,USA,PINK,USD,Common Stock,GB0009252882,US,/img/logos/US/GLAXF.png
215,JE00B4T3BW64,GLCNF,Glencore plc,USA,PINK,USD,Common Stock,JE00B4T3BW64,US,/img/logos/US/GLCNF.png
216,US2193501051,GLW,Corning Incorporated,USA,NYSE,USD,Common Stock,US2193501051,US,/img/logos/US/GLW.png
217,US37045V1008,GM,General Motors Company,USA,NYSE,USD,Common Stock,US37045V1008,US,/img/logos/US/GM.png
218,US02079K1079,GOOG,Alphabet Inc,USA,NASDAQ,USD,Common Stock,US02079K1079,US,/img/logos/US/goog.png
219,US02079K3059,GOOGL,Alphabet Inc,USA,NASDAQ,USD,Common Stock,US02079K3059,US,/img/logos/US/googl.png
220,US3724601055,GPC,Genuine Parts Company,USA,NYSE,USD,Common Stock,US3724601055,US,/img/logos/US/GPC.png
