Unnamed: 0,ISIN,Currency,Exchange,ETF Underlying Index Ticker,Dvd Freq,Code,Type,Name,GICS Sector,GICS Ind Name,Name.1,ExchangeCode,Country,AssetType
249,BE0003874915,EUR,BB,#N/A Field Not Applicable,Annual,FAGR,Common Stock,FAGRON,Health Care,Health Care Providers & Servic,FAGRON,BR,Belgium,Equity
250,NL0011585146,EUR,IM,#N/A Field Not Applicable,Annual,RACE,Common Stock,FERRARI NV,Consumer Discretionary,Automobiles,FERRARI NV,MI,Italy,Equity
251,NL0011279492,EUR,NA,#N/A Field Not Applicable,Semi-Anl,FLOW,Common Stock,FLOW TRADERS,Financials,Capital Markets,FLOW TRADERS,AS,The Netherlands,Equity
252,BE0003818359,EUR,NA,#N/A Field Not Applicable,None,GLPG,Common Stock,GALAPAGOS NV,Health Care,Biotechnology,GALAPAGOS NV,AS,The Netherlands,Equity
253,NL0000400653,EUR,NA,#N/A Field Not Applicable,Annual,GTO,Common Stock,GEMALTO,Information Technology,Software,GEMALTO,AS,The Netherlands,Equity
254,NL0010937066,EUR,NA,#N/A Field Not Applicable,Annual,GVNV,Common Stock,GRANDVISION NV,Consumer Discretionary,Specialty Retail,GRANDVISION,AS,The Netherlands,Equity
255,NL0000009165,EUR,NA,#N/A Field Not Applicable,Semi-Anl,HEIA,Common Stock,HEINEKEN NV,Consumer Staples,Beverages,HEINEKEN NV,AS,The Netherlands,Equity
256,NL0010801007,EUR,NA,#N/A Field Not Applicable,Annual,IMCD,Common Stock,IMCD NV,Industrials,Trading Companies & Distributo,IMCD NV,AS,The Netherlands,Equity
257,NL0011821202,EUR,NA,#N/A Field Not Applicable,Semi-Anl,INGA,Common Stock,ING GROEP NV,Financials,Banks,ING GROEP NV,AS,The Netherlands,Equity
258,NL0000009082,EUR,NA,#N/A Field Not Applicable,Semi-Anl,KPN,Common Stock,KONINKLIJKE KPN NV,Communication Services,Diversified Telecommunication,KPN (KONIN) NV,AS,The Netherlands,Equity
259,NL0010773842,EUR,NA,#N/A Field Not Applicable,Semi-Anl,NN,Common Stock,NN GROUP NV,Financials,Insurance,NN GROUP,AS,The Netherlands,Equity
260,NL0010558797,EUR,NA,#N/A Field Not Applicable,None,OCI,Common Stock,OCI NV,Materials,Chemicals,OCI NV,AS,The Netherlands,Equity
261,NL0000009322,EUR,NA,#N/A Field Not Applicable,None,INPHI,Common Stock,PHILIPS ELECTRONICS NV,Health Care,Health Care Equipment & Suppli,PHILIPS ELECTRON,AS,The Netherlands,Equity
262,NL0009739416,EUR,NA,#N/A Field Not Applicable,Semi-Anl,PNL,Common Stock,POSTNL NV,Industrials,Air Freight & Logistics,POSTNL NV,AS,The Netherlands,Equity
263,NL0013654783,EUR,NA,#N/A Field Not Applicable,None,PRX,Common Stock,PROSUS NV,Consumer Discretionary,Internet & Direct Marketing Re,PROSUS NV,AS,The Netherlands,Equity
264,NL0000379121,EUR,NA,#N/A Field Not Applicable,Annual,RAND,Common Stock,RANDSTAD NV,Industrials,Professional Services,RANDSTAD NV,AS,The Netherlands,Equity
265,NL0000360618,EUR,NA,#N/A Field Not Applicable,Annual,SBMO,Common Stock,SBM OFFSHORE NV,Energy,Energy Equipment & Services,SBM OFFSHORE NV,AS,The Netherlands,Equity
266,GB00B03MLX29,EUR,NA,#N/A Field Not Applicable,Quarter,RDSA,Common Stock,ROYAL DUTCH SHELL PLC-A SHS,Energy,Oil- Gas & Consumable Fuels,ROYAL DUTCH SH-A,AS,The Netherlands,Equity
267,NL0011821392,EUR,NA,#N/A Field Not Applicable,Annual,LIGHT,Common Stock,SIGNIFY NV,Industrials,Electrical Equipment,SIGNIFY NV,AS,The Netherlands,Equity
268,NL0000817179,EUR,NA,#N/A Field Not Applicable,Semi-Anl,SLIGR,Common Stock,SLIGRO FOOD GROUP NV,Consumer Staples,Food & Staples Retailing,SLIGRO FOOD GROU,AS,The Netherlands,Equity
269,NL0012015705,EUR,NA,#N/A Field Not Applicable,None,TKWY,Common Stock,JUST EAT TAKEAWAY,Consumer Discretionary,Internet & Direct Marketing Re,JUST EAT TAKEAWA,AS,The Netherlands,Equity
270,NL0013332471,EUR,NA,#N/A Field Not Applicable,None,TOM2,Common Stock,TOMTOM NV,Consumer Discretionary,Household Durables,TOMTOM NV,AS,The Netherlands,Equity
271,NL0009432491,EUR,NA,#N/A Field Not Applicable,Annual,VPK,Common Stock,VOPAK,Energy,Oil- Gas & Consumable Fuels,VOPAK,AS,The Netherlands,Equity
272,NL0000395903,EUR,NA,#N/A Field Not Applicable,Semi-Anl,WKL,Common Stock,WOLTERS KLUWER,Industrials,Professional Services,WOLTERS KLUWER,AS,The Netherlands,Equity
273,NL0009432491,EUR,NA,#N/A Field Not Applicable,Annual,VPK,Common Stock,VOPAK,Energy,Oil- Gas & Consumable Fuels,VOPAK,AS,The Netherlands,Equity
274,NL0000395903,EUR,NA,#N/A Field Not Applicable,Semi-Anl,WKL,Common Stock,WOLTERS KLUWER,Industrials,Professional Services,WOLTERS KLUWER,AS,The Netherlands,Equity
275,IT0001233417,EUR,IM,#N/A Field Not Applicable,Annual,A2A,Common Stock,A2A SPA,Utilities,Multi-Utilities,A2A SPA,MI,Italy,Equity
276,IT0004056880,EUR,IM,#N/A Field Not Applicable,Annual,AMP,Common Stock,AMPLIFON SPA,Health Care,Health Care Providers & Servic,AMPLIFON SPA,MI,Italy,Equity
277,IT0003506190,EUR,IM,#N/A Field Not Applicable,Irreg,ATL,Common Stock,ATLANTIA SPA,Industrials,Transportation Infrastructure,ATLANTIA SPA,MI,Italy,Equity
278,IT0003261697,EUR,IM,#N/A Field Not Applicable,Annual,AZM,Common Stock,AZIMUT HOLDING SPA,Financials,Capital Markets,AZIMUT HOLDING,MI,Italy,Equity
279,IT0001031084,EUR,IM,#N/A Field Not Applicable,Semi-Anl,BGN,Common Stock,BANCA GENERALI SPA,Financials,Capital Markets,BANCA GENERALI S,MI,Italy,Equity
280,IT0005218380,EUR,IM,#N/A Field Not Applicable,Irreg,BAMI,Common Stock,BANCO BPM SPA,Financials,Banks,BANCO BPM SPA,MI,Italy,Equity
281,IT0000066123,EUR,IM,#N/A Field Not Applicable,Annual,BPE,Common Stock,BPER BANCA,Financials,Banks,BPER BANCA,MI,Italy,Equity
282,IT0005252728,EUR,IM,#N/A Field Not Applicable,Annual,BRE,Common Stock,BREMBO SPA,Consumer Discretionary,Auto Components,BREMBO SPA,MI,Italy,Equity
283,IT0001347308,EUR,IM,#N/A Field Not Applicable,Annual,BZU,Common Stock,BUZZI UNICEM SPA,Materials,Construction Materials,BUZZI UNICEM SPA,MI,Italy,Equity
284,NL0010545661,EUR,IM,#N/A Field Not Applicable,Annual,CNHI,Common Stock,CNH INDUSTRIAL NV,Industrials,Machinery,CNH INDUSTRIAL N,MI,Italy,Equity
285,IT0003492391,EUR,IM,#N/A Field Not Applicable,Annual,DIA,Common Stock,DIASORIN SPA,Health Care,Health Care Equipment & Suppli,DIASORIN SPA,MI,Italy,Equity
286,IT0003128367,EUR,IM,#N/A Field Not Applicable,Semi-Anl,ENEL,Common Stock,ENEL SPA,Utilities,Electric Utilities,ENEL SPA,MI,Italy,Equity
287,IT0003132476,EUR,IM,#N/A Field Not Applicable,Semi-Anl,ENI,Common Stock,ENI SPA,Energy,Oil- Gas & Consumable Fuels,ENI SPA,MI,Italy,Equity
288,NL0012059018,EUR,IM,#N/A Field Not Applicable,Annual,EXO,Common Stock,EXOR NV,Financials,Diversified Financial Services,EXOR NV,MI,Italy,Equity
289,NL0011585146,EUR,IM,#N/A Field Not Applicable,Annual,RACE,Common Stock,FERRARI NV,Consumer Discretionary,Automobiles,FERRARI NV,MI,Italy,Equity
290,IT0000072170,EUR,IM,#N/A Field Not Applicable,Annual,FBK,Common Stock,FINECOBANK SPA,Financials,Banks,FINECOBANK SPA,MI,Italy,Equity
291,IT0000062072,EUR,IM,#N/A Field Not Applicable,Annual,G,Common Stock,ASSICURAZIONI GENERALI,Financials,Insurance,GENERALI ASSIC,MI,Italy,Equity
292,IT0000072618,EUR,IM,#N/A Field Not Applicable,Annual,ISP,Common Stock,INTESA SANPAOLO,Financials,Banks,INTESA SANPAOLO,MI,Italy,Equity
293,IT0005211237,EUR,IM,#N/A Field Not Applicable,Annual,IG,Common Stock,ITALGAS SPA,Utilities,Gas Utilities,ITALGAS SPA,MI,Italy,Equity
294,IT0000336518,EUR,IM,#N/A Field Not Applicable,Irreg,JUVE,Common Stock,JUVENTUS FOOTBALL CLUB SPA,Communication Services,Entertainment,JUVENTUS FOOTBAL,MI,Italy,Equity
295,IT0003856405,EUR,IM,#N/A Field Not Applicable,Annual,LDO,Common Stock,LEONARDO SPA,Industrials,Aerospace & Defense,LEONARDO SPA,MI,Italy,Equity
296,IT0000062957,EUR,IM,#N/A Field Not Applicable,Annual,MB,Common Stock,MEDIOBANCA SPA,Financials,Banks,MEDIOBANCA,MI,Italy,Equity
297,IT0004965148,EUR,IM,#N/A Field Not Applicable,Annual,MONC,Common Stock,MONCLER SPA,Consumer Discretionary,Textiles- Apparel & Luxury Goo,MONCLER SPA,MI,Italy,Equity
298,IT0005278236,EUR,IM,#N/A Field Not Applicable,Annual,PIRC,Common Stock,PIRELLI & C SPA,Consumer Discretionary,Auto Components,PIRELLI E C SPA,MI,Italy,Equity
299,IT0003796171,EUR,IM,#N/A Field Not Applicable,Semi-Anl,PST,Common Stock,POSTE ITALIANE SPA,Financials,Insurance,POSTE ITALIANE,MI,Italy,Equity
300,IT0004176001,EUR,IM,#N/A Field Not Applicable,Annual,PRY,Common Stock,PRYSMIAN SPA,Industrials,Electrical Equipment,PRYSMIAN SPA,MI,Italy,Equity
301,IT0003828271,EUR,IM,#N/A Field Not Applicable,Semi-Anl,REC,Common Stock,RECORDATI INDUSTRIA CHIMICA,Health Care,Pharmaceuticals,RECORDATI SPA,MI,Italy,Equity
302,IT0005252140,EUR,IM,#N/A Field Not Applicable,Irreg,SPM,Common Stock,SAIPEM SPA,Energy,Energy Equipment & Services,SAIPEM SPA,MI,Italy,Equity
303,IT0004712375,EUR,IM,#N/A Field Not Applicable,Annual,SFER,Common Stock,SALVATORE FERRAGAMO SPA,Consumer Discretionary,Textiles- Apparel & Luxury Goo,FERRAGAMO SPA,MI,Italy,Equity
304,IT0003153415,EUR,IM,#N/A Field Not Applicable,Semi-Anl,SRG,Common Stock,SNAM SPA,Utilities,Gas Utilities,SNAM SPA,MI,Italy,Equity
305,NL0000226223,EUR,FP,#N/A Field Not Applicable,Quarter,STM,Common Stock,STMICROELECTRONICS NV,Information Technology,Semiconductors & Semiconductor,STMICROELECTRONI,PA,France,Equity
306,IT0003497168,EUR,IM,#N/A Field Not Applicable,Irreg,TIT,Common Stock,TELECOM ITALIA SPA,Communication Services,Diversified Telecommunication,TELECOM ITALIA S,MI,Italy,Equity
307,LU0156801721,EUR,IM,#N/A Field Not Applicable,Semi-Anl,TEN,Common Stock,TENARIS SA,Energy,Energy Equipment & Services,TENARIS SA,MI,Italy,Equity
308,IT0003242622,EUR,IM,#N/A Field Not Applicable,Semi-Anl,TRN,Common Stock,TERNA SPA,Utilities,Electric Utilities,TERNA SPA,MI,Italy,Equity
309,IT0003487029,EUR,IM,#N/A Field Not Applicable,Annual,UBI,Common Stock,UBI BANCA SPA,Financials,Banks,UBI BANCA SPA,MI,Italy,Equity
310,IT0005239360,EUR,IM,#N/A Field Not Applicable,Annual,UCG,Common Stock,UNICREDIT SPA,Financials,Banks,UNICREDIT SPA,MI,Italy,Equity
311,IT0004810054,EUR,IM,#N/A Field Not Applicable,Annual,UNI,Common Stock,UNIPOL GRUPPO SPA,Financials,Insurance,UNIPOL GRUPPO SP,MI,Italy,Equity
312,IT0004827447,EUR,IM,#N/A Field Not Applicable,Annual,US,Common Stock,UNIPOLSAI ASSICURAZIONI SPA,Financials,Insurance,UNIPOLSAI SPA,MI,Italy,Equity
313,LU1598757687,EUR,NA,#N/A Field Not Applicable,Annual,MT,Common Stock,ARCELORMITTAL,Materials,Metals & Mining,ARCELORMITTAL,AS,The Netherlands,Equity
314,PTBCP0AM0015,EUR,PL,#N/A Field Not Applicable,Irreg,BCP,Common Stock,BANCO COMERCIAL PORTUGUES-R,Financials,Banks,BANCO COM PORT-R,LS,Portugal,Equity
315,PTGAL0AM0009,EUR,PL,#N/A Field Not Applicable,Irreg,GALP,Common Stock,GALP ENERGIA SGPS SA,Energy,Oil- Gas & Consumable Fuels,GALP ENERGIA,LS,Portugal,Equity
316,PTEDP0AM0009,EUR,PL,#N/A Field Not Applicable,Annual,EDP,Common Stock,EDP-ENERGIAS DE PORTUGAL SA,Utilities,Electric Utilities,EDP,LS,Portugal,Equity
317,PTALT0AE0002,EUR,PL,#N/A Field Not Applicable,Annual,ALTR,Common Stock,ALTRI SGPS SA,Materials,Paper & Forest Products,ALTRI SGPS SA,LS,Portugal,Equity
318,PTJMT0AE0001,EUR,PL,#N/A Field Not Applicable,Annual,JMT,Common Stock,JERONIMO MARTINS,Consumer Staples,Food & Staples Retailing,JERONIMO MARTINS,LS,Portugal,Equity
319,PTZON0AM0006,EUR,PL,#N/A Field Not Applicable,Annual,NOS,Common Stock,NOS SGPS,Communication Services,Diversified Telecommunication,NOS SGPS,LS,Portugal,Equity
320,PTPTI0AM0006,EUR,PL,#N/A Field Not Applicable,Annual,NVG,Common Stock,NAVIGATOR CO SA/THE,Materials,Paper & Forest Products,NAVIGATOR CO SA/,LS,Portugal,Equity
321,PTREL0AM0008,EUR,PL,#N/A Field Not Applicable,Annual,RENE,Common Stock,REDES ENERGETICAS NACIONAIS,Utilities,Multi-Utilities,REN-REDE ENERGET,LS,Portugal,Equity
322,PTMEN0AE0005,EUR,PL,#N/A Field Not Applicable,Annual,EGL,Common Stock,MOTA ENGIL SGPS SA,Industrials,Construction & Engineering,MOTA ENGIL SGPS,LS,Portugal,Equity
323,PTSON0AM0001,EUR,PL,#N/A Field Not Applicable,Annual,SON,Common Stock,SONAE,Consumer Staples,Food & Staples Retailing,SONAE,LS,Portugal,Equity
324,PTCTT0AM0001,EUR,PL,#N/A Field Not Applicable,Annual,CTT,Common Stock,CTT-CORREIOS DE PORTUGAL,Industrials,Air Freight & Logistics,CTT-CORREIOS DE,LS,Portugal,Equity
325,ES0127797019,EUR,PL,#N/A Field Not Applicable,Annual,EDPR,Common Stock,EDP RENOVAVEIS SA,Utilities,Independent Power and Renewabl,EDP RENOVAVEIS S,LS,Portugal,Equity
326,PTSEM0AM0004,EUR,PL,#N/A Field Not Applicable,Annual,SEM,Common Stock,SEMAPA-SOCIEDADE DE INVESTIM,Materials,Paper & Forest Products,SEMAPA,LS,Portugal,Equity
327,PTPTC0AM0009,EUR,PL,#N/A Field Not Applicable,Annual,PHR,Common Stock,PHAROL SGPS SA,Communication Services,Diversified Telecommunication,PHAROL SGPS SA,LS,Portugal,Equity
328,PTSNP0AE0008,EUR,PL,#N/A Field Not Applicable,Annual,SONC,Common Stock,SONAE CAPITAL SGPS SA,Industrials,Industrial Conglomerates,SONAE CAPITAL SG,LS,Portugal,Equity
329,PTCOR0AE0006,EUR,PL,#N/A Field Not Applicable,Annual,COR,Common Stock,CORTICEIRA AMORIM SA,Materials,Containers & Packaging,CORTICEIRA AMORI,LS,Portugal,Equity
330,PTIBS0AM0008,EUR,PL,#N/A Field Not Applicable,Annual,IBS,Common Stock,IBERSOL SGPS SA,Consumer Discretionary,Hotels- Restaurants & Leisure,IBERSOL SGPS SA,LS,Portugal,Equity
331,PTTD10AM0000,EUR,PL,#N/A Field Not Applicable,Annual,TDSA,Common Stock,TEIXEIRA DUARTE SA,Industrials,Construction & Engineering,TEIXEIRA DUARTE,LS,Portugal,Equity
332,PTNBA0AM0006,EUR,PL,#N/A Field Not Applicable,Irreg,NBA,Common Stock,NOVABASE SGPS SA,Information Technology,IT Services,NOVABASE SGPS SA,LS,Portugal,Equity
333,PTIPR0AM0000,EUR,PL,#N/A Field Not Applicable,None,IPR,Common Stock,IMPRESA SGPS SA,Communication Services,Media,IMPRESA SGPS SA,LS,Portugal,Equity
334,PTCFN0AE0003,EUR,PL,#N/A Field Not Applicable,Annual,CFN,Common Stock,COFINA SGPS SA,Communication Services,Media,COFINA SGPS SA,LS,Portugal,Equity
335,PTFRV0AE0004,EUR,PL,#N/A Field Not Applicable,Annual,RAM,Common Stock,RAMADA INVESTIMENTOS E INDUS,Materials,Metals & Mining,RAMADA INVESTIME,LS,Portugal,Equity
336,PTS3P0AM0025,EUR,PL,#N/A Field Not Applicable,Annual,SONI,Common Stock,SONAE INDUSTRIA SGPS SA,Materials,Paper & Forest Products,SONAE INDUSTRIA,LS,Portugal,Equity
337,PTSLB0AM0010,EUR,PL,#N/A Field Not Applicable,None,SLBEN,Common Stock,SPORT LISBOA E BENFICA-FUT S,Communication Services,Entertainment,BENFICA,LS,Portugal,Equity
338,PTMFR0AM0003,EUR,PL,#N/A Field Not Applicable,Irreg,MAR,Common Stock,MARTIFER SGPS SA,Industrials,Construction & Engineering,MARTIFER SGPS SA,LS,Portugal,Equity
339,PTSNC0AM0006,EUR,PL,#N/A Field Not Applicable,Annual,SNC,Common Stock,SONAECOM SGPS SA,Communication Services,Wireless Telecommunication Ser,SONAECOM SGPS SA,LS,Portugal,Equity
340,NL0012015705,EUR,NA,#N/A Field Not Applicable,None,TKWY,Common Stock,JUST EAT TAKEAWAY,Consumer Discretionary,Internet & Direct Marketing Re,JUST EAT TAKEAWA,AS,The Netherlands,Equity
341,GB00B03MLX29,EUR,NA,#N/A Field Not Applicable,Quarter,RDSA,Common Stock,ROYAL DUTCH SHELL PLC-A SHS,Energy,Oil- Gas & Consumable Fuels,ROYAL DUTCH SH-A,AS,The Netherlands,Equity
342,FR0000120107,EUR,FP,#N/A Field Not Applicable,Annual,SAVE,Common Stock,SAVENCIA SA,Consumer Staples,Food Products,SAVENCIA SA,PA,France,Equity
343,IE00BKP5L409,EUR,FP,Bloomberg Barclays US MBS,,IMBE,ETF,iShares US Mortgage Backed Securities UCITS ETF EUR Hedged (Acc),,,iShares US Mortgage Backed Securities UCITS ETF EUR Hedged (Acc),PA,France,Fixed Income
344,IE00BYPC1H27,USD,FP,BBG Barclays CH Treasury + PBI,Distribution,CNYB,ETF,iShares China CNY Bond UCITS ETF - (USD) Dist,,,iShares China CNY Bond UCITS ETF - (USD) Dist,PA,France,Fixed Income
345,IE00BJK55C48,EUR,FP,Bbg MSCI Euro Corp HY BB+ SRI,,EHYA,ETF,iShares EUR High Yield Corp Bond ESG UCITS ETF EUR (Acc),,,iShares EUR High Yield Corp Bond ESG UCITS ETF EUR (Acc),PA,France,Fixed Income
346,LU2008761053,EUR,FP,BBG MSCI € CorpSRI ExFossil3-5,,SRIC5,ETF,BNP PARIBAS EASY EUR CORP BOND SRI FOSSIL FREE 3-5Y UCITS ETF DISTRIBUTION,,,BNP PARIBAS EASY EUR CORP BOND SRI FOSSIL FREE 3-5Y UCITS ETF DISTRIBUTION,PA,France,Fixed Income
347,IE00BKPSFD61,USD,FP,BbgBar China Tr+Pol Bk TR Ind$,Capitalisation,CYBA,ETF,iShares China CNY Bond UCITS ETF USD (Acc),,,iShares China CNY Bond UCITS ETF USD (Acc),PA,France,Fixed Income
348,IE00BKRWN659,USD,FP,Wrld Broad IG Multi Dv Bank Bd,Capitalisation,DDBB,ETF,iShares $ Development Bank Bonds UCITS ETF USD (Acc),,,iShares $ Development Bank Bonds UCITS ETF USD (Acc),PA,France,Fixed Income
349,IE00BK7Y2P34,USD,FP,Citigroup G7 Index,Capitalisation,SGLU,ETF,iShares Global Gvt Bond UCITS ETF USD Hedged (Acc),,,iShares Global Gvt Bond UCITS ETF USD Hedged (Acc),PA,France,Fixed Income
350,NL0009690247,EUR,FP,Markit iBoxx EUR Liq Corp,,TCBT,ETF,VanEck Vectors iBoxx EUR Corporates UCITS ETF,,,VanEck Vectors iBoxx EUR Corporates UCITS ETF,PA,France,Fixed Income
351,IE00BKF09C98,USD,FP,BBMSCI U CrpHY Sust BB+ SRI Bd,Bi-Annually,DHYD,ETF,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Dist),,,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Dist),PA,France,Fixed Income
352,IE00BKT6FT27,EUR,FP,FTSE G7 Government Bond,,IGLE,ETF,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist),,,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist),PA,France,Fixed Income
353,NL0010273801,EUR,FP,iBoxx Gov AAA-AA 1-5 Index,,TAT,ETF,VanEck Vectors iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF,,,VanEck Vectors iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF,PA,France,Fixed Income
354,IE00BKT6VQ12,EUR,FP,Bbg China Treas + Policy Bank,,CYBE,ETF,iShares China CNY Bond UCITS ETF EUR Hedged (Acc),,,iShares China CNY Bond UCITS ETF EUR Hedged (Acc),PA,France,Fixed Income
355,FR0010869578,EUR,FP,Solactive Bund Daily (-2x) Inv,,DSB,ETF,Lyxor Bund Daily (-2x) Inverse UCITS ETF - Acc,,,Lyxor Bund Daily (-2x) Inverse UCITS ETF - Acc,PA,France,Fixed Income
356,IE00BZ163H91,EUR,FP,Euro Aggregate: Treasury,,VETY,ETF,VANGUARD EUR EUROZONE GOVERNMENT BOND UCITS ETF,,,VANGUARD EUR EUROZONE GOVERNMENT BOND UCITS ETF,PA,France,Fixed Income
357,LU1681041031,EUR,FP,iBoxx MSCI ESG USD FRN IG EURH,,AFLE,ETF,AMUNDI FLOATING RATE USD CORPORATE ESG UCITS ETF DR - USD (C),,,AMUNDI FLOATING RATE USD CORPORATE ESG UCITS ETF DR - USD (C),PA,France,Fixed Income
358,DE000A3GSUD3,EUR,FP,MVIS CryptoCompare Solana Ind,,VSOL,ETN,VanEck Vectors Solana ETN,,,VanEck Vectors Solana ETN,PA,France,Fixed Income
359,LU1390062245,EUR,FP,Markit iBoxx EUR Breakeven Inf,,INFL,ETF,Lyxor EUR 2-10Y Inflation Expectations UCITS ETF - Acc,,,Lyxor EUR 2-10Y Inflation Expectations UCITS ETF - Acc,PA,France,Fixed Income
360,IE00BKKKWJ26,USD,FP,BB MSCI US Crp Sustainable SRI,Capitalisation,SUOA,ETF,iShares $ Corp Bond ESG UCITS ETF USD (Acc),,,iShares $ Corp Bond ESG UCITS ETF USD (Acc),PA,France,Fixed Income
361,LU1437018168,EUR,FP,BBG BARCLAYS MSCI EUR Corp SRI,,ECRP,ETF,AMUNDI INDEX EURO CORPORATE SRIUCITS ETF DR (C),,,AMUNDI INDEX EURO CORPORATE SRIUCITS ETF DR (C),PA,France,Fixed Income
362,LU1859444769,EUR,FP,BBG MSCI € CorpSRI SusExFossil,,SRIC,ETF,BNP PARIBAS EASY EURO CORP BOND SRI FOSSIL FREE,,,BNP PARIBAS EASY EURO CORP BOND SRI FOSSIL FREE,PA,France,Fixed Income
363,DE000A3GSUD3,EUR,FP,MVIS CryptoCompare Solana Ind,,,ETN,VanEck Vectors Solana ETN,,,VanEck Vectors Solana ETN,PA,France,Fixed Income
364,LU1778293313,USD,FP,Bloomberg Brclys Glob Agg 500M,,GAHU,ETF,AMDI IDX BARCL AGG 500M UCITS ETF DR USD HEDG,,,AMDI IDX BARCL AGG 500M UCITS ETF DR USD HEDG,PA,France,Fixed Income
365,IE00BF553838,EUR,FP,JP Morgan ESG EMBI Glob Divers,,EMSA,ETF,iShares J.P. Morgan ESG EM Bond UCITS ETF USD (Acc),,,iShares J.P. Morgan ESG EM Bond UCITS ETF USD (Acc),PA,France,Fixed Income
366,NL0009690254,EUR,FP,Markit iBoxx EUR LiqSovDiv1-10,,TGBT,ETF,VanEck Vectors iBoxx EUR Sovereign Diversified 1-10 UCITS ETF,,,VanEck Vectors iBoxx EUR Sovereign Diversified 1-10 UCITS ETF,PA,France,Fixed Income
367,IE0032523478,EUR,FP,Markit iBoxx EUR Liquid LrgCap,,IBCX,ETF,iShares EUR Corp Bond Large Cap UCITS ETF EUR (Dist),,,iShares EUR Corp Bond Large Cap UCITS ETF EUR (Dist),PA,France,Fixed Income
368,DE000A28M8D0,EUR,FP,MVIS Bitcoin Index,,,ETN,VanEck Vectors Bitcoin ETN,,,VanEck Vectors Bitcoin ETN,PA,France,Fixed Income
369,LU1481202692,EUR,FP,Barclays Euro Agg Treasury,,JBEM,ETF,BNP Paribas Easy Bloomberg Barclays Euro Aggregate Treasury,,,BNP Paribas Easy Bloomberg Barclays Euro Aggregate Treasury,PA,France,Fixed Income
370,IE00B3F81R35,EUR,FP,Barclays Euro Corporate Bond,,IEAC,ETF,iShares Core EUR Corp Bond UCITS ETF EUR (Dist),,,iShares Core EUR Corp Bond UCITS ETF EUR (Dist),PA,France,Fixed Income
371,IE00B6X2VY59,EUR,FP,Bbg Eur Corp Interest rate Hd,,IRCP,ETF,iShares EUR Corp Bond Interest Rate Hedged UCITS ETF EUR (Dist),,,iShares EUR Corp Bond Interest Rate Hedged UCITS ETF EUR (Dist),PA,France,Fixed Income
372,LU1547515137,EUR,FP,JPM ESG EMBI Global Div (TR),Capitalisation,EMBH,ETF,BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF H EUR Cap,,,BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF H EUR Cap,PA,France,Fixed Income
373,IE00B0M62X26,EUR,FP,Barclays Euro Gov Inflation,,IBCI,ETF,iShares Euro Inflation Linked Gov Bond UCITS ETF,,,iShares Euro Inflation Linked Gov Bond UCITS ETF,PA,France,Fixed Income
374,LU1681040819,USD,FP,Markit iBoxx $ Treasuries 1-3Y,,US1,ETF,AMUNDI US TREASURY 1-3 UCITSETF DR  USD (C),,,AMUNDI US TREASURY 1-3 UCITSETF DR  USD (C),PA,France,Fixed Income
375,LU1681040652,USD,FP,Markit iBoxx $Treasuries 7-10Y,,US7,ETF,AMUNDI US TREASURY 7-10 UCITSETF DR  USD (C),,,AMUNDI US TREASURY 7-10 UCITSETF DR  USD (C),PA,France,Fixed Income
376,LU1563454310,EUR,FP,Solactive Green Bond EUR USD I,,CLIM,ETF,Lyxor Green Bond (DR) UCITS ETF - Acc,,,Lyxor Green Bond (DR) UCITS ETF - Acc,PA,France,Fixed Income
377,IE00BKLC5874,EUR,FP,Bbg MSCI Euro Corp HY BB+ SRI,,EHYD,ETF,iShares EUR High Yield Corp Bond ESG UCITS ETF EUR (Dist),,,iShares EUR High Yield Corp Bond ESG UCITS ETF EUR (Dist),PA,France,Fixed Income
378,LU1407890620,USD,FP,Bbg Barcl US Long Treasury Ind,,US10,ETF,Lyxor Core US Treasury 10+Y (DR) UCITS ETF,,,Lyxor Core US Treasury 10+Y (DR) UCITS ETF,PA,France,Fixed Income
379,IE00BKS2X317,EUR,FP,.,,FSOV,ETF,First Trust Low Duration Global Government Bond UCITS ETF,,,First Trust Low Duration Global Government Bond UCITS ETF,PA,France,Fixed Income
380,IE00B4WXJJ64,EUR,FP,Barclays Euro Treasury Bond,,IEGA,ETF,iShares Core EUR Govt Bond UCITS ETF EUR (Dist),,,iShares Core EUR Govt Bond UCITS ETF EUR (Dist),PA,France,Fixed Income
381,LU1525418643,EUR,FP,Barclays Euro Corp BBB 1-5,,EBBB,ETF,AMUNDI INDEX BARCLAYS EURO CORP BBB 1-5 UCITS ETF DR,,,AMUNDI INDEX BARCLAYS EURO CORP BBB 1-5 UCITS ETF DR,PA,France,Fixed Income
382,DE000A3GPSP7,EUR,FP,MVIS Ethereum Index,,,ETN,VanEck Vectors Ethereum ETN,,,VanEck Vectors Ethereum ETN,PA,France,Fixed Income
